timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595690636233,9,Get shopping cart,200,OK,200 Users 1-1,text,true,,523,167,1,1,http://localhost:8080/shopping-carts/1,9,0,0
1595690636258,7,Get shopping cart,200,OK,200 Users 1-2,text,true,,518,167,2,2,http://localhost:8080/shopping-carts/1,7,0,0
1595690636266,5,Create Account,201,Created,200 Users 2-1,,true,,216,406,1,3,http://localhost:8080/accounts,5,0,0
1595690636282,7,Get shopping cart,200,OK,200 Users 1-3,text,true,,518,167,3,4,http://localhost:8080/shopping-carts/1,7,0,0
1595690636291,4,Create Account,201,Created,200 Users 2-2,,true,,216,406,2,6,http://localhost:8080/accounts,4,0,0
1595690636293,7,Create Order,201,Created,200 Users 3-1,,true,,214,789,1,6,http://localhost:8080/orders,7,0,0
1595690636293,8,Get shopping cart,200,OK,200 Users 1-1,text,true,,518,167,3,6,http://localhost:8080/shopping-carts/1,8,0,0
1595690636307,8,Get shopping cart,200,OK,200 Users 1-4,text,true,,518,167,4,7,http://localhost:8080/shopping-carts/1,8,0,0
1595690636316,5,Create Account,201,Created,200 Users 2-3,,true,,216,406,3,9,http://localhost:8080/accounts,5,0,0
1595690636318,5,Create Order,201,Created,200 Users 3-2,,true,,214,789,2,9,http://localhost:8080/orders,5,0,0
1595690636326,10,Create Account,201,Created,200 Users 2-1,,true,,216,406,3,10,http://localhost:8080/accounts,10,0,0
1595690636332,8,Get shopping cart,200,OK,200 Users 1-5,text,true,,523,167,5,10,http://localhost:8080/shopping-carts/1,8,0,0
1595690636342,4,Create Account,201,Created,200 Users 2-4,,true,,216,406,4,12,http://localhost:8080/accounts,4,0,0
1595690636343,5,Create Order,201,Created,200 Users 3-3,,true,,214,789,3,12,http://localhost:8080/orders,5,0,0
1595690636353,5,Create Order,201,Created,200 Users 3-1,,true,,214,789,3,13,http://localhost:8080/orders,5,0,0
1595690636357,9,Get shopping cart,200,OK,200 Users 1-6,text,true,,518,167,6,14,http://localhost:8080/shopping-carts/1,8,0,0
1595690636366,4,Create Account,201,Created,200 Users 2-5,,true,,216,406,5,15,http://localhost:8080/accounts,4,0,0
1595690636368,5,Create Order,201,Created,200 Users 3-4,,true,,214,789,4,15,http://localhost:8080/orders,5,0,0
1595690636377,8,Get shopping cart,200,OK,200 Users 1-2,text,true,,518,167,7,16,http://localhost:8080/shopping-carts/1,8,0,0
1595690636382,7,Get shopping cart,200,OK,200 Users 1-7,text,true,,518,167,7,16,http://localhost:8080/shopping-carts/1,7,0,0
1595690636391,4,Create Account,201,Created,200 Users 2-6,,true,,216,406,6,18,http://localhost:8080/accounts,4,0,0
1595690636393,5,Create Order,201,Created,200 Users 3-5,,true,,214,789,5,18,http://localhost:8080/orders,5,0,1
1595690636410,5,Create Account,201,Created,200 Users 2-2,,true,,216,406,6,19,http://localhost:8080/accounts,5,0,0
1595690636407,8,Get shopping cart,200,OK,200 Users 1-8,text,true,,518,167,8,19,http://localhost:8080/shopping-carts/1,8,0,0
1595690636416,4,Create Account,201,Created,200 Users 2-7,,true,,216,406,7,21,http://localhost:8080/accounts,4,0,0
1595690636419,5,Create Order,201,Created,200 Users 3-6,,true,,214,789,6,21,http://localhost:8080/orders,5,0,0
1595690636432,8,Get shopping cart,200,OK,200 Users 1-9,text,true,,518,167,9,22,http://localhost:8080/shopping-carts/1,7,0,1
1595690636437,7,Create Order,201,Created,200 Users 3-2,,true,,214,789,7,24,http://localhost:8080/orders,7,0,0
1595690636441,7,Create Account,201,Created,200 Users 2-8,,true,,216,406,8,24,http://localhost:8080/accounts,7,0,0
