timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595690099657,11,Get shopping cart,200,OK,200 Users 1-1,text,true,,523,167,1,1,http://localhost:8080/shopping-carts/1,11,0,0
1595690099682,12,Get shopping cart,200,OK,200 Users 1-2,text,true,,518,167,2,3,http://localhost:8080/shopping-carts/1,12,0,0
1595690099691,5,Create Account,201,Created,200 Users 2-1,,true,,216,406,1,3,http://localhost:8080/accounts,5,0,0
1595690099716,5,Create Account,201,Created,200 Users 2-2,,true,,216,406,2,6,http://localhost:8080/accounts,5,0,0
1595690099707,15,Get shopping cart,200,OK,200 Users 1-3,text,true,,518,167,3,6,http://localhost:8080/shopping-carts/1,15,0,0
1595690099716,13,Get shopping cart,200,OK,200 Users 1-1,text,true,,518,167,3,6,http://localhost:8080/shopping-carts/1,13,0,0
1595690099715,19,Create Order,201,Created,200 Users 3-1,,true,,214,789,1,7,http://localhost:8080/orders,19,0,0
1595690099732,11,Get shopping cart,200,OK,200 Users 1-4,text,true,,518,167,4,9,http://localhost:8080/shopping-carts/1,10,0,0
1595690099741,5,Create Account,201,Created,200 Users 2-3,,true,,216,406,3,9,http://localhost:8080/accounts,5,0,0
1595690099750,5,Create Account,201,Created,200 Users 2-1,,true,,216,406,3,9,http://localhost:8080/accounts,5,0,0
1595690099740,18,Create Order,201,Created,200 Users 3-2,,true,,214,789,2,10,http://localhost:8080/orders,18,0,0
1595690099757,9,Get shopping cart,200,OK,200 Users 1-5,text,true,,518,167,5,12,http://localhost:8080/shopping-carts/1,9,0,0
1595690099766,4,Create Account,201,Created,200 Users 2-4,,true,,216,406,4,12,http://localhost:8080/accounts,4,0,0
1595690099765,15,Create Order,201,Created,200 Users 3-3,,true,,214,789,3,12,http://localhost:8080/orders,15,0,0
1595690099782,10,Get shopping cart,200,OK,200 Users 1-6,text,true,,518,167,6,15,http://localhost:8080/shopping-carts/1,10,0,0
1595690099775,19,Create Order,201,Created,200 Users 3-1,,true,,214,789,4,15,http://localhost:8080/orders,19,0,0
1595690099791,8,Create Account,201,Created,200 Users 2-5,,true,,216,406,5,15,http://localhost:8080/accounts,8,0,0
1595690099790,16,Create Order,201,Created,200 Users 3-4,,true,,214,789,4,15,http://localhost:8080/orders,16,0,0
1595690099801,10,Get shopping cart,200,OK,200 Users 1-2,text,true,,518,167,7,16,http://localhost:8080/shopping-carts/1,10,0,0
1595690099807,11,Get shopping cart,200,OK,200 Users 1-7,text,true,,523,167,7,18,http://localhost:8080/shopping-carts/1,11,0,1
1595690099816,5,Create Account,201,Created,200 Users 2-6,,true,,216,406,6,18,http://localhost:8080/accounts,5,0,0
1595690099815,15,Create Order,201,Created,200 Users 3-5,,true,,214,789,5,18,http://localhost:8080/orders,15,0,1
1595690099836,4,Create Account,201,Created,200 Users 2-2,,true,,216,406,6,19,http://localhost:8080/accounts,4,0,0
1595690099833,13,Get shopping cart,200,OK,200 Users 1-8,text,true,,523,167,8,21,http://localhost:8080/shopping-carts/1,13,0,0
1595690099841,9,Create Account,201,Created,200 Users 2-7,,true,,216,406,7,21,http://localhost:8080/accounts,9,0,1
1595690099840,16,Create Order,201,Created,200 Users 3-6,,true,,214,789,6,21,http://localhost:8080/orders,16,0,1
1595690099857,10,Get shopping cart,200,OK,200 Users 1-9,text,true,,518,167,9,24,http://localhost:8080/shopping-carts/1,10,0,1
1595690099867,5,Create Account,201,Created,200 Users 2-8,,true,,216,406,8,24,http://localhost:8080/accounts,5,0,0
1595690099860,16,Create Order,201,Created,200 Users 3-2,,true,,214,789,7,24,http://localhost:8080/orders,16,0,0
1595690099866,15,Create Order,201,Created,200 Users 3-7,,true,,214,789,7,24,http://localhost:8080/orders,15,0,0
1595690099882,10,Get shopping cart,200,OK,200 Users 1-10,text,true,,518,167,10,27,http://localhost:8080/shopping-carts/1,10,0,0
1595690099892,4,Create Account,201,Created,200 Users 2-9,,true,,216,406,9,27,http://localhost:8080/accounts,4,0,0
1595690099887,9,Get shopping cart,200,OK,200 Users 1-3,text,true,,518,167,10,27,http://localhost:8080/shopping-carts/1,9,0,0
1595690099897,9,Get shopping cart,200,OK,200 Users 1-1,text,true,,518,167,10,27,http://localhost:8080/shopping-carts/1,9,0,0
1595690099891,16,Create Order,201,Created,200 Users 3-8,,true,,214,789,8,27,http://localhost:8080/orders,16,0,0
1595690099908,9,Get shopping cart,200,OK,200 Users 1-11,text,true,,518,167,11,30,http://localhost:8080/shopping-carts/1,9,0,0
1595690099916,4,Create Account,201,Created,200 Users 2-10,,true,,216,406,10,30,http://localhost:8080/accounts,4,0,0
1595690099921,4,Create Account,201,Created,200 Users 2-3,,true,,216,406,10,30,http://localhost:8080/accounts,4,0,0
1595690099915,15,Create Order,201,Created,200 Users 3-9,,true,,214,789,9,30,http://localhost:8080/orders,15,0,0
1595690099931,5,Create Account,201,Created,200 Users 2-1,,true,,216,406,10,31,http://localhost:8080/accounts,5,0,0
1595690099932,10,Get shopping cart,200,OK,200 Users 1-12,text,true,,518,167,12,33,http://localhost:8080/shopping-carts/1,10,0,0
1595690099941,4,Create Account,201,Created,200 Users 2-11,,true,,216,406,11,33,http://localhost:8080/accounts,4,0,0
1595690099940,16,Create Order,201,Created,200 Users 3-10,,true,,214,789,10,33,http://localhost:8080/orders,16,0,0
1595690099945,16,Create Order,201,Created,200 Users 3-3,,true,,214,789,10,34,http://localhost:8080/orders,16,0,0
1595690099957,11,Get shopping cart,200,OK,200 Users 1-13,text,true,,518,167,13,36,http://localhost:8080/shopping-carts/1,11,0,0
1595690099966,4,Create Account,201,Created,200 Users 2-12,,true,,216,406,12,36,http://localhost:8080/accounts,4,0,0
1595690099965,16,Create Order,201,Created,200 Users 3-11,,true,,214,789,11,36,http://localhost:8080/orders,16,0,0
1595690099972,9,Get shopping cart,200,OK,200 Users 1-4,text,true,,518,167,13,36,http://localhost:8080/shopping-carts/1,9,0,0
1595690099982,10,Get shopping cart,200,OK,200 Users 1-14,text,true,,523,167,14,39,http://localhost:8080/shopping-carts/1,10,0,0
1595690099991,4,Create Account,201,Created,200 Users 2-13,,true,,216,406,13,39,http://localhost:8080/accounts,4,0,0
1595690099990,17,Create Order,201,Created,200 Users 3-12,,true,,214,789,12,39,http://localhost:8080/orders,17,0,0
1595690100005,5,Create Account,201,Created,200 Users 2-4,,true,,216,406,13,40,http://localhost:8080/accounts,5,0,0
1595690100007,12,Get shopping cart,200,OK,200 Users 1-15,text,true,,518,167,15,42,http://localhost:8080/shopping-carts/1,12,0,1
